,性别,年龄,船舱等级,费用,是否生还
0,男,22,三等,7.25,0
1,女,38,一等,71.2833,1
2,女,26,三等,7.925,1
3,女,35,一等,53.1,1
4,男,35,三等,8.05,0
5,男,,三等,8.4583,0
6,男,54,一等,51.8625,0
7,男,2,三等,21.075,0
8,女,27,三等,11.1333,1
9,女,14,二等,30.0708,1
10,女,4,三等,16.7,1
11,女,58,一等,26.55,1
12,男,20,三等,8.05,0
13,男,39,三等,31.275,0
14,女,14,三等,7.8542,0
15,女,55,二等,16,1
16,男,2,三等,29.125,0
17,男,,二等,13,1
18,女,31,三等,18,0
19,女,,三等,7.225,1
20,男,35,二等,26,0
21,男,34,二等,13,1
22,女,15,三等,8.0292,1
23,男,28,一等,35.5,1
24,女,8,三等,21.075,0
25,女,38,三等,31.3875,1
26,男,,三等,7.225,0
27,男,19,一等,263,0
28,女,,三等,7.8792,1
29,男,,三等,7.8958,0
30,男,40,一等,27.7208,0
31,女,,一等,146.5208,1
32,女,,三等,7.75,1
33,男,66,二等,10.5,0
34,男,28,一等,82.1708,0
35,男,42,一等,52,0
36,男,,三等,7.2292,1
37,男,21,三等,8.05,0
38,女,18,三等,18,0
39,女,14,三等,11.2417,1
40,女,40,三等,9.475,0
41,女,27,二等,21,0
42,男,,三等,7.8958,0
43,女,3,二等,41.5792,1
44,女,19,三等,7.8792,1
45,男,,三等,8.05,0
46,男,,三等,15.5,0
47,女,,三等,7.75,1
48,男,,三等,21.6792,0
49,女,18,三等,17.8,0
50,男,7,三等,39.6875,0
51,男,21,三等,7.8,0
52,女,49,一等,76.7292,1
53,女,29,二等,26,1
54,男,65,一等,61.9792,0
55,男,,一等,35.5,1
56,女,21,二等,10.5,1
57,男,28.5,三等,7.2292,0
58,女,5,二等,27.75,1
59,男,11,三等,46.9,0
60,男,22,三等,7.2292,0
61,女,38,一等,80,1
62,男,45,一等,83.475,0
63,男,4,三等,27.9,0
64,男,,一等,27.7208,0
65,男,,三等,15.2458,1
66,女,29,二等,10.5,1
67,男,19,三等,8.1583,0
68,女,17,三等,7.925,1
69,男,26,三等,8.6625,0
70,男,32,二等,10.5,0
71,女,16,三等,46.9,0
72,男,21,二等,73.5,0
73,男,26,三等,14.4542,0
74,男,32,三等,56.4958,1
75,男,25,三等,7.65,0
76,男,,三等,7.8958,0
77,男,,三等,8.05,0
78,男,0.83,二等,29,1
79,女,30,三等,12.475,1
80,男,22,三等,9,0
81,男,29,三等,9.5,1
82,女,,三等,7.7875,1
83,男,28,一等,47.1,0
84,女,17,二等,10.5,1
85,女,33,三等,15.85,1
86,男,16,三等,34.375,0
87,男,,三等,8.05,0
88,女,23,一等,263,1
89,男,24,三等,8.05,0
90,男,29,三等,8.05,0
91,男,20,三等,7.8542,0
92,男,46,一等,61.175,0
93,男,26,三等,20.575,0
94,男,59,三等,7.25,0
95,男,,三等,8.05,0
96,男,71,一等,34.6542,0
97,男,23,一等,63.3583,1
98,女,34,二等,23,1
99,男,34,二等,26,0
100,女,28,三等,7.8958,0
101,男,,三等,7.8958,0
102,男,21,一等,77.2875,0
103,男,33,三等,8.6542,0
104,男,37,三等,7.925,0
105,男,28,三等,7.8958,0
106,女,21,三等,7.65,1
107,男,,三等,7.775,1
108,男,38,三等,7.8958,0
109,女,,三等,24.15,1
110,男,47,一等,52,0
111,女,14.5,三等,14.4542,0
112,男,22,三等,8.05,0
113,女,20,三等,9.825,0
114,女,17,三等,14.4583,0
115,男,21,三等,7.925,0
116,男,70.5,三等,7.75,0
117,男,29,二等,21,0
118,男,24,一等,247.5208,0
119,女,2,三等,31.275,0
120,男,21,二等,73.5,0
121,男,,三等,8.05,0
122,男,32.5,二等,30.0708,0
123,女,32.5,二等,13,1
124,男,54,一等,77.2875,0
125,男,12,三等,11.2417,1
126,男,,三等,7.75,0
127,男,24,三等,7.1417,1
128,女,,三等,22.3583,1
129,男,45,三等,6.975,0
130,男,33,三等,7.8958,0
131,男,20,三等,7.05,0
132,女,47,三等,14.5,0
133,女,29,二等,26,1
134,男,25,二等,13,0
135,男,23,二等,15.0458,0
136,女,19,一等,26.2833,1
137,男,37,一等,53.1,0
138,男,16,三等,9.2167,0
139,男,24,一等,79.2,0
140,女,,三等,15.2458,0
141,女,22,三等,7.75,1
142,女,24,三等,15.85,1
143,男,19,三等,6.75,0
144,男,18,二等,11.5,0
145,男,19,二等,36.75,0
146,男,27,三等,7.7958,1
147,女,9,三等,34.375,0
148,男,36.5,二等,26,0
149,男,42,二等,13,0
150,男,51,二等,12.525,0
151,女,22,一等,66.6,1
152,男,55.5,三等,8.05,0
153,男,40.5,三等,14.5,0
154,男,,三等,7.3125,0
155,男,51,一等,61.3792,0
156,女,16,三等,7.7333,1
157,男,30,三等,8.05,0
158,男,,三等,8.6625,0
159,男,,三等,69.55,0
160,男,44,三等,16.1,0
161,女,40,二等,15.75,1
162,男,26,三等,7.775,0
163,男,17,三等,8.6625,0
164,男,1,三等,39.6875,0
165,男,9,三等,20.525,1
166,女,,一等,55,1
167,女,45,三等,27.9,0
168,男,,一等,25.925,0
169,男,28,三等,56.4958,0
170,男,61,一等,33.5,0
171,男,4,三等,29.125,0
172,女,1,三等,11.1333,1
173,男,21,三等,7.925,0
174,男,56,一等,30.6958,0
175,男,18,三等,7.8542,0
176,男,,三等,25.4667,0
177,女,50,一等,28.7125,0
178,男,30,二等,13,0
179,男,36,三等,0,0
180,女,,三等,69.55,0
181,男,,二等,15.05,0
182,男,9,三等,31.3875,0
183,男,1,二等,39,1
184,女,4,三等,22.025,1
185,男,,一等,50,0
186,女,,三等,15.5,1
187,男,45,一等,26.55,1
188,男,40,三等,15.5,0
189,男,36,三等,7.8958,0
190,女,32,二等,13,1
191,男,19,二等,13,0
192,女,19,三等,7.8542,1
193,男,3,二等,26,1
194,女,44,一等,27.7208,1
195,女,58,一等,146.5208,1
196,男,,三等,7.75,0
197,男,42,三等,8.4042,0
198,女,,三等,7.75,1
199,女,24,二等,13,0
200,男,28,三等,9.5,0
201,男,,三等,69.55,0
202,男,34,三等,6.4958,0
203,男,45.5,三等,7.225,0
204,男,18,三等,8.05,1
205,女,2,三等,10.4625,0
206,男,32,三等,15.85,0
207,男,26,三等,18.7875,1
208,女,16,三等,7.75,1
209,男,40,一等,31,1
210,男,24,三等,7.05,0
211,女,35,二等,21,1
212,男,22,三等,7.25,0
213,男,30,二等,13,0
214,男,,三等,7.75,0
215,女,31,一等,113.275,1
216,女,27,三等,7.925,1
217,男,42,二等,27,0
218,女,32,一等,76.2917,1
219,男,30,二等,10.5,0
220,男,16,三等,8.05,1
221,男,27,二等,13,0
222,男,51,三等,8.05,0
223,男,,三等,7.8958,0
224,男,38,一等,90,1
225,男,22,三等,9.35,0
226,男,19,二等,10.5,1
227,男,20.5,三等,7.25,0
228,男,18,二等,13,0
229,女,,三等,25.4667,0
230,女,35,一等,83.475,1
231,男,29,三等,7.775,0
232,男,59,二等,13.5,0
233,女,5,三等,31.3875,1
234,男,24,二等,10.5,0
235,女,,三等,7.55,0
236,男,44,二等,26,0
237,女,8,二等,26.25,1
238,男,19,二等,10.5,0
239,男,33,二等,12.275,0
240,女,,三等,14.4542,0
241,女,,三等,15.5,1
242,男,29,二等,10.5,0
243,男,22,三等,7.125,0
244,男,30,三等,7.225,0
245,男,44,一等,90,0
246,女,25,三等,7.775,0
247,女,24,二等,14.5,1
248,男,37,一等,52.5542,1
249,男,54,二等,26,0
250,男,,三等,7.25,0
251,女,29,三等,10.4625,0
252,男,62,一等,26.55,0
253,男,30,三等,16.1,0
254,女,41,三等,20.2125,0
255,女,29,三等,15.2458,1
256,女,,一等,79.2,1
257,女,30,一等,86.5,1
258,女,35,一等,512.3292,1
259,女,50,二等,26,1
260,男,,三等,7.75,0
261,男,3,三等,31.3875,1
262,男,52,一等,79.65,0
263,男,40,一等,0,0
264,女,,三等,7.75,0
265,男,36,二等,10.5,0
266,男,16,三等,39.6875,0
267,男,25,三等,7.775,1
268,女,58,一等,153.4625,1
269,女,35,一等,135.6333,1
270,男,,一等,31,0
271,男,25,三等,0,1
272,女,41,二等,19.5,1
273,男,37,一等,29.7,0
274,女,,三等,7.75,1
275,女,63,一等,77.9583,1
276,女,45,三等,7.75,0
277,男,,二等,0,0
278,男,7,三等,29.125,0
279,女,35,三等,20.25,1
280,男,65,三等,7.75,0
281,男,28,三等,7.8542,0
282,男,16,三等,9.5,0
283,男,19,三等,8.05,1
284,男,,一等,26,0
285,男,33,三等,8.6625,0
286,男,30,三等,9.5,1
287,男,22,三等,7.8958,0
288,男,42,二等,13,1
289,女,22,三等,7.75,1
290,女,26,一等,78.85,1
291,女,19,一等,91.0792,1
292,男,36,二等,12.875,0
293,女,24,三等,8.85,0
294,男,24,三等,7.8958,0
295,男,,一等,27.7208,0
296,男,23.5,三等,7.2292,0
297,女,2,一等,151.55,0
298,男,,一等,30.5,1
299,女,50,一等,247.5208,1
300,女,,三等,7.75,1
301,男,,三等,23.25,1
302,男,19,三等,0,0
303,女,,二等,12.35,1
304,男,,三等,8.05,0
305,男,0.92,一等,151.55,1
306,女,,一等,110.8833,1
307,女,17,一等,108.9,1
308,男,30,二等,24,0
309,女,30,一等,56.9292,1
310,女,24,一等,83.1583,1
311,女,18,一等,262.375,1
312,女,26,二等,26,0
313,男,28,三等,7.8958,0
314,男,43,二等,26.25,0
315,女,26,三等,7.8542,1
316,女,24,二等,26,1
317,男,54,二等,14,0
318,女,31,一等,164.8667,1
319,女,40,一等,134.5,1
320,男,22,三等,7.25,0
321,男,27,三等,7.8958,0
322,女,30,二等,12.35,1
323,女,22,二等,29,1
324,男,,三等,69.55,0
325,女,36,一等,135.6333,1
326,男,61,三等,6.2375,0
327,女,36,二等,13,1
328,女,31,三等,20.525,1
329,女,16,一等,57.9792,1
330,女,,三等,23.25,1
331,男,45.5,一等,28.5,0
332,男,38,一等,153.4625,0
333,男,16,三等,18,0
334,女,,一等,133.65,1
335,男,,三等,7.8958,0
336,男,29,一等,66.6,0
337,女,41,一等,134.5,1
338,男,45,三等,8.05,1
339,男,45,一等,35.5,0
340,男,2,二等,26,1
341,女,24,一等,263,1
342,男,28,二等,13,0
343,男,25,二等,13,0
344,男,36,二等,13,0
345,女,24,二等,13,1
346,女,40,二等,13,1
347,女,,三等,16.1,1
348,男,3,三等,15.9,1
349,男,42,三等,8.6625,0
350,男,23,三等,9.225,0
351,男,,一等,35,0
352,男,15,三等,7.2292,0
353,男,25,三等,17.8,0
354,男,,三等,7.225,0
355,男,28,三等,9.5,0
356,女,22,一等,55,1
357,女,38,二等,13,0
358,女,,三等,7.8792,1
359,女,,三等,7.8792,1
360,男,40,三等,27.9,0
361,男,29,二等,27.7208,0
362,女,45,三等,14.4542,0
363,男,35,三等,7.05,0
364,男,,三等,15.5,0
365,男,30,三等,7.25,0
366,女,60,一等,75.25,1
367,女,,三等,7.2292,1
368,女,,三等,7.75,1
369,女,24,一等,69.3,1
370,男,25,一等,55.4417,1
371,男,18,三等,6.4958,0
372,男,19,三等,8.05,0
373,男,22,一等,135.6333,0
374,女,3,三等,21.075,0
375,女,,一等,82.1708,1
376,女,22,三等,7.25,1
377,男,27,一等,211.5,0
378,男,20,三等,4.0125,0
379,男,19,三等,7.775,0
380,女,42,一等,227.525,1
381,女,1,三等,15.7417,1
382,男,32,三等,7.925,0
383,女,35,一等,52,1
384,男,,三等,7.8958,0
385,男,18,二等,73.5,0
386,男,1,三等,46.9,0
387,女,36,二等,13,1
388,男,,三等,7.7292,0
389,女,17,二等,12,1
390,男,36,一等,120,1
391,男,21,三等,7.7958,1
392,男,28,三等,7.925,0
393,女,23,一等,113.275,1
394,女,24,三等,16.7,1
395,男,22,三等,7.7958,0
396,女,31,三等,7.8542,0
397,男,46,二等,26,0
398,男,23,二等,10.5,0
399,女,28,二等,12.65,1
400,男,39,三等,7.925,1
401,男,26,三等,8.05,0
402,女,21,三等,9.825,0
403,男,28,三等,15.85,0
404,女,20,三等,8.6625,0
405,男,34,二等,21,0
406,男,51,三等,7.75,0
407,男,3,二等,18.75,1
408,男,21,三等,7.775,0
409,女,,三等,25.4667,0
410,男,,三等,7.8958,0
411,男,,三等,6.8583,0
412,女,33,一等,90,1
413,男,,二等,0,0
414,男,44,三等,7.925,1
415,女,,三等,8.05,0
416,女,34,二等,32.5,1
417,女,18,二等,13,1
418,男,30,二等,13,0
419,女,10,三等,24.15,0
420,男,,三等,7.8958,0
421,男,21,三等,7.7333,0
422,男,29,三等,7.875,0
423,女,28,三等,14.4,0
424,男,18,三等,20.2125,0
425,男,,三等,7.25,0
426,女,28,二等,26,1
427,女,19,二等,26,1
428,男,,三等,7.75,0
429,男,32,三等,8.05,1
430,男,28,一等,26.55,1
431,女,,三等,16.1,1
432,女,42,二等,26,1
433,男,17,三等,7.125,0
434,男,50,一等,55.9,0
435,女,14,一等,120,1
436,女,21,三等,34.375,0
437,女,24,二等,18.75,1
438,男,64,一等,263,0
439,男,31,二等,10.5,0
440,女,45,二等,26.25,1
441,男,20,三等,9.5,0
442,男,25,三等,7.775,0
443,女,28,二等,13,1
444,男,,三等,8.1125,1
445,男,4,一等,81.8583,1
446,女,13,二等,19.5,1
447,男,34,一等,26.55,1
448,女,5,三等,19.2583,1
449,男,52,一等,30.5,1
450,男,36,二等,27.75,0
451,男,,三等,19.9667,0
452,男,30,一等,27.75,0
453,男,49,一等,89.1042,1
454,男,,三等,8.05,0
455,男,29,三等,7.8958,1
456,男,65,一等,26.55,0
457,女,,一等,51.8625,1
458,女,50,二等,10.5,1
459,男,,三等,7.75,0
460,男,48,一等,26.55,1
461,男,34,三等,8.05,0
462,男,47,一等,38.5,0
463,男,48,二等,13,0
464,男,,三等,8.05,0
465,男,38,三等,7.05,0
466,男,,二等,0,0
467,男,56,一等,26.55,0
468,男,,三等,7.725,0
469,女,0.75,三等,19.2583,1
470,男,,三等,7.25,0
471,男,38,三等,8.6625,0
472,女,33,二等,27.75,1
473,女,23,二等,13.7917,1
474,女,22,三等,9.8375,0
475,男,,一等,52,0
476,男,34,二等,21,0
477,男,29,三等,7.0458,0
478,男,22,三等,7.5208,0
479,女,2,三等,12.2875,1
480,男,9,三等,46.9,0
481,男,,二等,0,0
482,男,50,三等,8.05,0
483,女,63,三等,9.5875,1
484,男,25,一等,91.0792,1
485,女,,三等,25.4667,0
486,女,35,一等,90,1
487,男,58,一等,29.7,0
488,男,30,三等,8.05,0
489,男,9,三等,15.9,1
490,男,,三等,19.9667,0
491,男,21,三等,7.25,0
492,男,55,一等,30.5,0
493,男,71,一等,49.5042,0
494,男,21,三等,8.05,0
495,男,,三等,14.4583,0
496,女,54,一等,78.2667,1
497,男,,三等,15.1,0
498,女,25,一等,151.55,0
499,男,24,三等,7.7958,0
500,男,17,三等,8.6625,0
501,女,21,三等,7.75,0
502,女,,三等,7.6292,0
503,女,37,三等,9.5875,0
504,女,16,一等,86.5,1
505,男,18,一等,108.9,0
506,女,33,二等,26,1
507,男,,一等,26.55,1
508,男,28,三等,22.525,0
509,男,26,三等,56.4958,1
510,男,29,三等,7.75,1
511,男,,三等,8.05,0
512,男,36,一等,26.2875,1
513,女,54,一等,59.4,1
514,男,24,三等,7.4958,0
515,男,47,一等,34.0208,0
516,女,34,二等,10.5,1
517,男,,三等,24.15,0
518,女,36,二等,26,1
519,男,32,三等,7.8958,0
520,女,30,一等,93.5,1
521,男,22,三等,7.8958,0
522,男,,三等,7.225,0
523,女,44,一等,57.9792,1
524,男,,三等,7.2292,0
525,男,40.5,三等,7.75,0
526,女,50,二等,10.5,1
527,男,,一等,221.7792,0
528,男,39,三等,7.925,0
529,男,23,二等,11.5,0
530,女,2,二等,26,1
531,男,,三等,7.2292,0
532,男,17,三等,7.2292,0
533,女,,三等,22.3583,1
534,女,30,三等,8.6625,0
535,女,7,二等,26.25,1
536,男,45,一等,26.55,0
537,女,30,一等,106.425,1
538,男,,三等,14.5,0
539,女,22,一等,49.5,1
540,女,36,一等,71,1
541,女,9,三等,31.275,0
542,女,11,三等,31.275,0
543,男,32,二等,26,1
544,男,50,一等,106.425,0
545,男,64,一等,26,0
546,女,19,二等,26,1
547,男,,二等,13.8625,1
548,男,33,三等,20.525,0
549,男,8,二等,36.75,1
550,男,17,一等,110.8833,1
551,男,27,二等,26,0
552,男,,三等,7.8292,0
553,男,22,三等,7.225,1
554,女,22,三等,7.775,1
555,男,62,一等,26.55,0
556,女,48,一等,39.6,1
557,男,,一等,227.525,0
558,女,39,一等,79.65,1
559,女,36,三等,17.4,1
560,男,,三等,7.75,0
561,男,40,三等,7.8958,0
562,男,28,二等,13.5,0
563,男,,三等,8.05,0
564,女,,三等,8.05,0
565,男,24,三等,24.15,0
566,男,19,三等,7.8958,0
567,女,29,三等,21.075,0
568,男,,三等,7.2292,0
569,男,32,三等,7.8542,1
570,男,62,二等,10.5,1
571,女,53,一等,51.4792,1
572,男,36,一等,26.3875,1
573,女,,三等,7.75,1
574,男,16,三等,8.05,0
575,男,19,三等,14.5,0
576,女,34,二等,13,1
577,女,39,一等,55.9,1
578,女,,三等,14.4583,0
579,男,32,三等,7.925,1
580,女,25,二等,30,1
581,女,39,一等,110.8833,1
582,男,54,二等,26,0
583,男,36,一等,40.125,0
584,男,,三等,8.7125,0
585,女,18,一等,79.65,1
586,男,47,二等,15,0
587,男,60,一等,79.2,1
588,男,22,三等,8.05,0
589,男,,三等,8.05,0
590,男,35,三等,7.125,0
591,女,52,一等,78.2667,1
592,男,47,三等,7.25,0
593,女,,三等,7.75,0
594,男,37,二等,26,0
595,男,36,三等,24.15,0
596,女,,二等,33,1
597,男,49,三等,0,0
598,男,,三等,7.225,0
599,男,49,一等,56.9292,1
600,女,24,二等,27,1
601,男,,三等,7.8958,0
602,男,,一等,42.4,0
603,男,44,三等,8.05,0
604,男,35,一等,26.55,1
605,男,36,三等,15.55,0
606,男,30,三等,7.8958,0
607,男,27,一等,30.5,1
608,女,22,二等,41.5792,1
609,女,40,一等,153.4625,1
610,女,39,三等,31.275,0
611,男,,三等,7.05,0
612,女,,三等,15.5,1
613,男,,三等,7.75,0
614,男,35,三等,8.05,0
615,女,24,二等,65,1
616,男,34,三等,14.4,0
617,女,26,三等,16.1,0
618,女,4,二等,39,1
619,男,26,二等,10.5,0
620,男,27,三等,14.4542,0
621,男,42,一等,52.5542,1
622,男,20,三等,15.7417,1
623,男,21,三等,7.8542,0
624,男,21,三等,16.1,0
625,男,61,一等,32.3208,0
626,男,57,二等,12.35,0
627,女,21,一等,77.9583,1
628,男,26,三等,7.8958,0
629,男,,三等,7.7333,0
630,男,80,一等,30,1
631,男,51,三等,7.0542,0
632,男,32,一等,30.5,1
633,男,,一等,0,0
634,女,9,三等,27.9,0
635,女,28,二等,13,1
636,男,32,三等,7.925,0
637,男,31,二等,26.25,0
638,女,41,三等,39.6875,0
639,男,,三等,16.1,0
640,男,20,三等,7.8542,0
641,女,24,一等,69.3,1
642,女,2,三等,27.9,0
643,男,,三等,56.4958,1
644,女,0.75,三等,19.2583,1
645,男,48,一等,76.7292,1
646,男,19,三等,7.8958,0
647,男,56,一等,35.5,1
648,男,,三等,7.55,0
649,女,23,三等,7.55,1
650,男,,三等,7.8958,0
651,女,18,二等,23,1
652,男,21,三等,8.4333,0
653,女,,三等,7.8292,1
654,女,18,三等,6.75,0
655,男,24,二等,73.5,0
656,男,,三等,7.8958,0
657,女,32,三等,15.5,0
658,男,23,二等,13,0
659,男,58,一等,113.275,0
660,男,50,一等,133.65,1
661,男,40,三等,7.225,0
662,男,47,一等,25.5875,0
663,男,36,三等,7.4958,0
664,男,20,三等,7.925,1
665,男,32,二等,73.5,0
666,男,25,二等,13,0
667,男,,三等,7.775,0
668,男,43,三等,8.05,0
669,女,,一等,52,1
670,女,40,二等,39,1
671,男,31,一等,52,0
672,男,70,二等,10.5,0
673,男,31,二等,13,1
674,男,,二等,0,0
675,男,18,三等,7.775,0
676,男,24.5,三等,8.05,0
677,女,18,三等,9.8417,1
678,女,43,三等,46.9,0
679,男,36,一等,512.3292,1
680,女,,三等,8.1375,0
681,男,27,一等,76.7292,1
682,男,20,三等,9.225,0
683,男,14,三等,46.9,0
684,男,60,二等,39,0
685,男,25,二等,41.5792,0
686,男,14,三等,39.6875,0
687,男,19,三等,10.1708,0
688,男,18,三等,7.7958,0
689,女,15,一等,211.3375,1
690,男,31,一等,57,1
691,女,4,三等,13.4167,1
692,男,,三等,56.4958,1
693,男,25,三等,7.225,0
694,男,60,一等,26.55,0
695,男,52,二等,13.5,0
696,男,44,三等,8.05,0
697,女,,三等,7.7333,1
698,男,49,一等,110.8833,0
699,男,42,三等,7.65,0
700,女,18,一等,227.525,1
701,男,35,一等,26.2875,1
702,女,18,三等,14.4542,0
703,男,25,三等,7.7417,0
704,男,26,三等,7.8542,0
705,男,39,二等,26,0
706,女,45,二等,13.5,1
707,男,42,一等,26.2875,1
708,女,22,一等,151.55,1
709,男,,三等,15.2458,1
710,女,24,一等,49.5042,1
711,男,,一等,26.55,0
712,男,48,一等,52,1
713,男,29,三等,9.4833,0
714,男,52,二等,13,0
715,男,19,三等,7.65,0
716,女,38,一等,227.525,1
717,女,27,二等,10.5,1
718,男,,三等,15.5,0
719,男,33,三等,7.775,0
720,女,6,二等,33,1
721,男,17,三等,7.0542,0
722,男,34,二等,13,0
723,男,50,二等,13,0
724,男,27,一等,53.1,1
725,男,20,三等,8.6625,0
726,女,30,二等,21,1
727,女,,三等,7.7375,1
728,男,25,二等,26,0
729,女,25,三等,7.925,0
730,女,29,一等,211.3375,1
731,男,11,三等,18.7875,0
732,男,,二等,0,0
733,男,23,二等,13,0
734,男,23,二等,13,0
735,男,28.5,三等,16.1,0
736,女,48,三等,34.375,0
737,男,35,一等,512.3292,1
738,男,,三等,7.8958,0
739,男,,三等,7.8958,0
740,男,,一等,30,1
741,男,36,一等,78.85,0
742,女,21,一等,262.375,1
743,男,24,三等,16.1,0
744,男,31,三等,7.925,1
745,男,70,一等,71,0
746,男,16,三等,20.25,0
747,女,30,二等,13,1
748,男,19,一等,53.1,0
749,男,31,三等,7.75,0
750,女,4,二等,23,1
751,男,6,三等,12.475,1
752,男,33,三等,9.5,0
753,男,23,三等,7.8958,0
754,女,48,二等,65,1
755,男,0.67,二等,14.5,1
756,男,28,三等,7.7958,0
757,男,18,二等,11.5,0
758,男,34,三等,8.05,0
759,女,33,一等,86.5,1
760,男,,三等,14.5,0
761,男,41,三等,7.125,0
762,男,20,三等,7.2292,1
763,女,36,一等,120,1
764,男,16,三等,7.775,0
765,女,51,一等,77.9583,1
766,男,,一等,39.6,0
767,女,30.5,三等,7.75,0
768,男,,三等,24.15,0
769,男,32,三等,8.3625,0
770,男,24,三等,9.5,0
771,男,48,三等,7.8542,0
772,女,57,二等,10.5,0
773,男,,三等,7.225,0
774,女,54,二等,23,1
775,男,18,三等,7.75,0
776,男,,三等,7.75,0
777,女,5,三等,12.475,1
778,男,,三等,7.7375,0
779,女,43,一等,211.3375,1
780,女,13,三等,7.2292,1
781,女,17,一等,57,1
782,男,29,一等,30,0
783,男,,三等,23.45,0
784,男,25,三等,7.05,0
785,男,25,三等,7.25,0
786,女,18,三等,7.4958,1
787,男,8,三等,29.125,0
788,男,1,三等,20.575,1
789,男,46,一等,79.2,0
790,男,,三等,7.75,0
791,男,16,二等,26,0
792,女,,三等,69.55,0
793,男,,一等,30.6958,0
794,男,25,三等,7.8958,0
795,男,39,二等,13,0
796,女,49,一等,25.9292,1
797,女,31,三等,8.6833,1
798,男,30,三等,7.2292,0
799,女,30,三等,24.15,0
800,男,34,二等,13,0
801,女,31,二等,26.25,1
802,男,11,一等,120,1
803,男,0.42,三等,8.5167,1
804,男,27,三等,6.975,1
805,男,31,三等,7.775,0
806,男,39,一等,0,0
807,女,18,三等,7.775,0
808,男,39,二等,13,0
809,女,33,一等,53.1,1
810,男,26,三等,7.8875,0
811,男,39,三等,24.15,0
812,男,35,二等,10.5,0
813,女,6,三等,31.275,0
814,男,30.5,三等,8.05,0
815,男,,一等,0,0
816,女,23,三等,7.925,0
817,男,31,二等,37.0042,0
818,男,43,三等,6.45,0
819,男,10,三等,27.9,0
820,女,52,一等,93.5,1
821,男,27,三等,8.6625,1
822,男,38,一等,0,0
823,女,27,三等,12.475,1
824,男,2,三等,39.6875,0
825,男,,三等,6.95,0
826,男,,三等,56.4958,0
827,男,1,二等,37.0042,1
828,男,,三等,7.75,1
829,女,62,一等,80,1
830,女,15,三等,14.4542,1
831,男,0.83,二等,18.75,1
832,男,,三等,7.2292,0
833,男,23,三等,7.8542,0
834,男,18,三等,8.3,0
835,女,39,一等,83.1583,1
836,男,21,三等,8.6625,0
837,男,,三等,8.05,0
838,男,32,三等,56.4958,1
839,男,,一等,29.7,1
840,男,20,三等,7.925,0
841,男,16,二等,10.5,0
842,女,30,一等,31,1
843,男,34.5,三等,6.4375,0
844,男,17,三等,8.6625,0
845,男,42,三等,7.55,0
846,男,,三等,69.55,0
847,男,35,三等,7.8958,0
848,男,28,二等,33,0
849,女,,一等,89.1042,1
850,男,4,三等,31.275,0
851,男,74,三等,7.775,0
852,女,9,三等,15.2458,0
853,女,16,一等,39.4,1
854,女,44,二等,26,0
855,女,18,三等,9.35,1
856,女,45,一等,164.8667,1
857,男,51,一等,26.55,1
858,女,24,三等,19.2583,1
859,男,,三等,7.2292,0
860,男,41,三等,14.1083,0
861,男,21,二等,11.5,0
862,女,48,一等,25.9292,1
863,女,,三等,69.55,0
864,男,24,二等,13,0
865,女,42,二等,13,1
866,女,27,二等,13.8583,1
867,男,31,一等,50.4958,0
868,男,,三等,9.5,0
869,男,4,三等,11.1333,1
870,男,26,三等,7.8958,0
871,女,47,一等,52.5542,1
872,男,33,一等,5,0
873,男,47,三等,9,0
874,女,28,二等,24,1
875,女,15,三等,7.225,1
876,男,20,三等,9.8458,0
877,男,19,三等,7.8958,0
878,男,,三等,7.8958,0
879,女,56,一等,83.1583,1
880,女,25,二等,26,1
881,男,33,三等,7.8958,0
882,女,22,三等,10.5167,0
883,男,28,二等,10.5,0
884,男,25,三等,7.05,0
885,女,39,三等,29.125,0
886,男,27,二等,13,0
887,女,19,一等,30,1
888,女,,三等,23.45,0
889,男,26,一等,30,1
890,男,32,三等,7.75,0
